Index,Variable Names,Definition,Definition_Underscore
1,STATUS,Not defined in codebook,Status
2,ADLT1IMP,Derived number of adults embarked,imputed_number_of_adults_embarked
3,ADLT2IMP,Derived number of adults who died on Middle Passage,imputed__number_of_adults_who_died_on_Middle_Passage
4,ADLT3IMP,Derived number of adults landed,imputed__number_of_adults_landed
5,ADPSALE1,Second place of slave landing,Second_place_of_slave_landing
6,ADPSALE2,Third place of slave landing,Third_place_of_slave_landing
7,ADULT1,Adults embarked at first port of purchase,Adults_embarked_at_first_port_of_purchase
8,ADULT2,Adults who died on Middle Passage,Adults_who_died_on_Middle_Passage
9,ADULT3,Adults disembarked at first place of landing,Adults_disembarked_at_first_place_of_landing
10,ADULT4,Adults embarked at second port of purchase,Adults_embarked_at_second_port_of_purchase
11,ADULT5,Adults embarked at third port of purchase,Adults_embarked_at_third_port_of_purchase
12,ADULT6,Adults disembarked at second place of landing,Adults_disembarked_at_second_place_of_landing
13,ADULT7,Derived number of adults at departure or arrival,imputed_number_of_adults_at_departure_or_arrival
14,ARRPORT,First intended port of disembarkation,First_intended_port_of_disembarkation
15,ARRPORT2,Second intended port of disembarkation,Second_intended_port_of_disembarkation
16,ARRPORT3,Third intended port of disembarkation,Third_intended_port_of_disembarkation
17,ARRPORT4,Fourth intended port of disembarkation,Fourth_intended_port_of_disembarkation
18,BOY1,Boys embarked at first port of purchase,Boys_embarked_at_first_port_of_purchase
19,BOY2,Boys who died on Middle Passage,Boys_who_died_on_Middle_Passage
20,BOY3,Boys disembarked at first place of landing,Boys_disembarked_at_first_place_of_landing
21,BOY4,Boys embarked at second port of purchase,Boys_embarked_at_second_port_of_purchase
22,BOY5,Boys embarked at third port of purchase,Boys_embarked_at_third_port_of_purchase
23,BOY6,Boys disembarked at second place of landing,Boys_disembarked_at_second_place_of_landing
24,BOY7,Derived number of boys at departure or arrival,imputed_number_of_boys_at_departure_or_arrival
25,BOYRAT7,Percentage of boys at departure or arrival,Percentage_of_boys_at_departure_or_arrival
26,CAPTAINA,First captain’s name,First_captains_name
27,CAPTAINB,Second captain’s name,Second_captains_name
28,CAPTAINC,Third captain’s name,Third_captains_name
29,CHIL1IMP,Derived number of children embarked,imputed_number_of_children_embarked
30,CHIL2IMP,Derived number of children who died on the Middle Passage,imputed_number_of_children_who_died_on_the_Middle_Passage
31,CHIL3IMP,Derived number of children landed,imputed_number_of_children_landed
32,CHILD1,Children embarked at first port of purchase,Children_embarked_at_first_port_of_purchase
33,CHILD2,Children who died on Middle Passage,Children_who_died_on_Middle_Passage
34,CHILD3,Children disembarked at first place of landing,Children_disembarked_at_first_place_of_landing
35,CHILD4,Children embarked at second port of purchase,Children_embarked_at_second_port_of_purchase
36,CHILD5,Children embarked at third port of purchase,Children_embarked_at_third_port_of_purchase
37,CHILD6,Children disembarked at second place of landing,Children_disembarked_at_second_place_of_landing
38,CHILD7,Derived number of children at departure or arrival,imputed_number_of_children_at_departure_or_arrival
39,CHILRAT7,Child ratio at departure or arrival,Child_ratio_at_departure_or_arrival
40,CONSTREG,Region where vessel was constructed,Region_where_vessel_was_constructed
41,CREW,Number of crew unspecified,Number_of_crew_unspecified
42,CREW1,Crew at voyage outset,Crew_at_voyage_outset
43,CREW2,Crew at departure from last port of slave purchase,Crew_at_departure_from_last_port_of_slave_purchase
44,CREW3,Crew at first landing of slaves,Crew_at_first_landing_of_slaves
45,CREW4,Crew when return voyage began,Crew_when_return_voyage_began
46,CREW5,Crew at end of voyage,Crew_at_end_of_voyage
