Broad region value,Broad region,Specific region value,Specific region (country or colony),Place value,Places (port or location)
10000,Europe,10100,Spain,10101,Alicante
,,,,10102,Barcelona
,,,,10103,Bilbao
,,,,10104,Cadiz
,,,,10105,Figuera
,,,,10106,Gibraltar
,,,,10107,Coruña
,,,,10108,Ávila
,,,,10109,Beja
,,,,10110,Santander
,,,,10111,Seville
,,,,10112,San Lucar
,,,,10113,Vigo
,,,,10114,Albacete
,,,,10115,Puerto Santa Maria
,,,,10116,Bragança
,,,,10117,Córdoba
,,,,10118,Extremadura
,,,,10119,Faro
,,,,10121,Galicia
,,,,10122,Granada
,,,,10123,"Gipuzkoa, Spain"
,,,,10124,Madrid
,,,,10125,Málaga
,,,,10126,"Mos, Pontevedra"
,,,,10127,Murcia
,,,,10128,Renton
,,,,10129,Olhão
,,,,10131,Valladolid
,,,,10199,"Spain, place unspecified"
10000,Europe,10200,Portugal,10201,Ameixeira
,,,,10202,Lagos
,,,,10203,Lisbon
,,,,10204,Oporto
,,,,10205,Ilha do Fayal
,,,,10206,Setubal
,,,,10207,Aveiro
,,,,10208,Barcelos
,,,,10209,Belém
,,,,10210,Braga
,,,,10211,carzon de Braganza
,,,,10212,Cascais
,,,,10213,Castelo Branco
,,,,10214,Cernache do Bonjardim
,,,,10215,Chaves
,,,,10216,Coimbra
,,,,10217,Penalva do Castelo
,,,,10218,Evora
,,,,10219,Fafe
,,,,10221,Graja
,,,,10222,Guarda
,,,,10223,Guimaraes
,,,,10224,Leiria
,,,,10225,Lugo
,,,,10226,Mouraz
,,,,10227,Óbidos
,,,,10228,Ribadeo
,,,,10229,Porto
,,,,10230,Ourém
,,,,10231,Freixo
,,,,10232,villa cova
,,,,10233,Santarém
,,,,10234,São Martinho da Gândara
,,,,10235,"Ilha de São Miguel, Açores"
,,,,10236,"Sao Pedro lomar, Braga"
,,,,10237,Sintra
,,,,10238,Tavira
,,,,10239,Vila Nova de Gaia
,,,,10242,Viseu
,,,,10244,Vila Nova
,,,,10252,Funchal
,,,,10253,Vila Real
,,,,10254,Tabula
,,,,10255,"Pomar, Coimbra"
,,,,10299,"Portugal, port unspecified"
10000,Europe,10300,Great Britain,10301,"Ainsdale, Southport"
,,,,10302,Ovingham
,,,,10399,"Great Britain, place unspecified"
10000,Europe,10400,England and Wales,10401,Barmouth
,,,,10402,Bideford
,,,,10403,Birkenhead
,,,,10404,Bristol
,,,,10405,Brixham
,,,,10406,Broadstairs
,,,,10407,Cawsand
,,,,10408,Chepstow
,,,,10409,Chester
,,,,10410,Colchester
,,,,10411,Cowes
,,,,10412,Dartmouth
,,,,10413,Deptford
,,,,10414,Dover
,,,,10415,Exeter
,,,,10416,Folkstone
,,,,10417,Frodsham
,,,,10418,Gainsborough
,,,,10419,Greenwich
,,,,10420,Guernsey
,,,,10421,Harwich
,,,,10422,Hull
,,,,10423,Ilfracombe
,,,,10424,Ipswich
,,,,10425,Isle of Man
,,,,10426,Isle of Wight
,,,,10427,Jersey
,,,,10428,Kendal
,,,,10429,King's Lynn
,,,,10430,Lancaster
,,,,10431,Lindale
,,,,10432,Liverpool
,,,,10433,London
,,,,10434,Lyme
,,,,10435,"Lancashire, place unspecified"
,,,,10436,Maryport
,,,,10437,Milford Haven
,,,,10438,New Shoreham
,,,,10439,Newcastle upon Tyne
,,,,10440,Newnham
,,,,10441,North Shields
,,,,10442,Northam
,,,,10443,Norwich
,,,,10444,Padstowe
,,,,10445,Parkgate
,,,,10446,Piel of Foulney
,,,,10447,Plymouth
,,,,10448,Poole
,,,,10449,Portsery
,,,,10450,Portsmouth
,,,,10451,Poulton
,,,,10452,Preston
,,,,10453,Ramsgate
,,,,10454,Ravenglass
,,,,10455,River Thames
,,,,10456,Rochester
,,,,10457,Rotherhithe
,,,,10458,Rye
,,,,10459,Scarborough
,,,,10460,Sheerness
,,,,10461,Shields
,,,,10462,Shoreham
,,,,10463,Sidmouth
,,,,10464,Southampton
,,,,10465,Barton
,,,,10466,Stockton
,,,,10467,Stockwithe
,,,,10468,Sunderland
,,,,10469,Teignmouth
,,,,10470,Topsham
,,,,10471,Torbay
,,,,10472,Wales
,,,,10473,Whitby
,,,,10474,Whitehaven
,,,,10475,Bath
,,,,10476,Workington
,,,,10477,Yarmouth
,,,,10478,Youghal
,,,,10479,Conway
,,,,10480,Falmouth (Eng.)
,,,,10481,Lymehouse (a) Limehouse
,,,,10482,"Beaumont cote, Bolton le Sands, Lancashire"
,,,,10483,Beckermet
,,,,10484,Ruthin
,,,,10485,Lympstone
,,,,10486,"Ballatoar, Isle of Man"
,,,,10488,Ashton-in-Makerfield
,,,,10489,Aspull
,,,,10490,Aughton
,,,,10491,Dalton-in-Furness
,,,,10492,"Bodfari, Flintshire"
,,,,10493,Bootle
,,,,10494,Brampton Bryan
,,,,10495,"Bromfield, Cumberland"
,,,,10496,"Brookhouse, Caton"
,,,,10497,"Bunbury, Cheshire"
,,,,10498,"Smithies, South Barnsley"
,,,,10499,"England, place unspecified"
,,,,10994,Hornby
,,,,104701,"Douglas, Isle of Man"
,,,,104702,Widnes
,,,,104703,Cumbria
,,,,104704,Cuerden
,,,,104705,Eccleston
,,,,104706,Davenham
,,,,104707,"Darnall, Sheffield"
,,,,104708,Thornton
,,,,104709,"St Anne's Hill, Liverpool"
,,,,104710,Linacre nr Bootle
,,,,104711,Great Bolton
,,,,104712,"Thingwell, Cheshire"
,,,,104801,Northwich
,,,,104802,Ormskirk
,,,,104803,Oulton
,,,,104804,"Overthwaite, Beetham"
,,,,104805,"Pembrokeshire, UK"
,,,,104806,Pilling
,,,,104807,Plymtree
,,,,104808,Chesterfield
,,,,104811,Rainford
,,,,104812,"Ramsey, I of Man"
,,,,104813,Ribby
,,,,104814,Richmond
,,,,104816,Roosebeck
,,,,104817,Denbighshire
,,,,104818,"Schools Hill, Cheadle"
,,,,104819,Shropshire
,,,,104820,Everton
,,,,104821,Old Snydale
,,,,104822,Solihull
,,,,104823,Saint Bees
,,,,104824,"St Chads, Poulton-le-Fylde"
,,,,104825,Saint Asaph
,,,,104826,Stalmine
,,,,104827,"Stoke Village, Plymouth"
,,,,104828,Bowness-on-Windermere
,,,,104829,Stratford-upon-Avon
,,,,104831,Kirkby Lonsdale
,,,,104832,Surrey
,,,,104834,Tarvin
,,,,104835,Thornton in Lonsdale
,,,,104836,Thorp Arch
,,,,104837,Toxteth
,,,,104838,Ulverston
,,,,104839,"Ellel, Lancashire"
,,,,104842,Wavertree
,,,,104843,Weobley
,,,,104844,West Auckland
,,,,104845,"West Derby, Liverpool"
,,,,104846,Westbury-on Trym
,,,,104847,Westminster
,,,,104848,"Whicham, Cumberland"
,,,,104849,Whiston
,,,,104851,"Witton, Cheshire"
,,,,104852,Wivenhoe
,,,,104853,Woodford
,,,,104854,Woolton
,,,,104855,York
,,,,104856,Yorkshire
,,,,104901,Moreton
,,,,104903,Mount Vernon
,,,,104904,Mylor Churchtown
,,,,104905,Nantwich
,,,,104906,Derbyshire
,,,,104907,Newport
,,,,104908,"Norfolk, UK"
,,,,104909,"Northumberland, UK"
,,,,104911,Greatacre
,,,,104912,Caton
,,,,104913,Pentre Llanrhaeadr
,,,,104914,Lymm
,,,,104915,Manchester
,,,,104916,Heaton Norris
,,,,104917,Millom
,,,,104918,Milnthorpe
,,,,104919,Minehead
,,,,104921,Kirkham
,,,,104922,Knowsley
,,,,104923,"Warbrick, Liverpool"
,,,,104924,Tunstall
,,,,104925,Leyland
,,,,104926,Liscard
,,,,104927,Lisson Grove
,,,,104928,Litherland
,,,,104929,Little Colan
,,,,104931,"Hillcliff, Warrington"
,,,,104933,Hubberston
,,,,104935,Huyton
,,,,104936,Islington
,,,,104937,Kent
,,,,104938,Kingston
,,,,104941,Greenbank
,,,,104942,Grinsdale
,,,,104943,Hambleton
,,,,104944,Haverfordwest
,,,,104946,Hereford
,,,,104947,Heversham
,,,,104948,Heysham
,,,,104949,"Highfield, Liverpool"
,,,,104951,Denbigh
,,,,104952,"Edgehill, Liverpool"
,,,,104953,Ellel
,,,,104954,Etton
,,,,104956,Flixton
,,,,104957,Giggleswick
,,,,104958,Great Crosby
,,,,104960,"Beacon Rise, Stone"
,,,,104961,Cambridge
,,,,104962,Dalemain
,,,,104963,"Sandfield, Wallasey"
,,,,104964,Wakefield
,,,,104965,Moss Side
,,,,104966,"Devon, UK"
,,,,104967,Dorset
,,,,104968,"Westmorland, place unspecified"
,,,,104969,"Blackley Hurst Hall, Billinge"
,,,,104970,"Ashburton, Devon"
,,,,104971,"Chorlton Hall, Backford"
,,,,104972,Church Green Lymm
,,,,104973,Claughton
,,,,104974,Cockerham
,,,,104975,"Colton, Lancashire"
,,,,104976,Colwall Stone
,,,,104977,Congleton
,,,,104978,Warrington
,,,,104979,Warminster
,,,,104980,Homestead
,,,,104981,Walton
,,,,104982,"Carlisle, Cumbria"
,,,,104983,"Castle Godwyn, Gloucester"
,,,,104984,Caton Green
,,,,104985,"Chard, Devon"
,,,,104986,Cheshire
,,,,104987,Childer Thornton
,,,,104988,Childwall
,,,,104989,Chorley
,,,,104990,Mile End Liverpool
,,,,104992,Prescot
,,,,104993,"Middleton, Tamworth"
,,,,104995,Caton Lancashire
,,,,104996,Fairfield
,,,,104998,Cumberland
10000,Europe,10500,Scotland,10501,Airth
,,,,10502,Borrowstounness
,,,,10503,Dundee
,,,,10504,Glasgow
,,,,10505,Greenock
,,,,10506,Leith
,,,,10508,Montrose
,,,,10509,Ross
,,,,10510,Saltcoats
,,,,10511,"Largo, Fifeshire"
,,,,10512,Dumfries
,,,,10513,Point Askaig
,,,,10514,Cambletown
,,,,10515,Portpatrick
,,,,10516,Erwin
,,,,10517,Aberdeen
,,,,10518,Stranraer
,,,,10519,Oban
,,,,10520,Campbeltown
,,,,10521,Loch Dochfour
,,,,10522,Dumfriesshire
,,,,10523,Edinburgh
,,,,10524,Galloway
,,,,10525,Gretna
,,,,10526,Jedburgh
,,,,10527,Killead
,,,,10528,kincardineshire
,,,,10529,Kirkcudbright
,,,,10530,Kirkliston
,,,,10531,Netherton
,,,,10532,"Pentland Firth, UK"
,,,,10533,"Perth, Scotland"
,,,,10534,Tarbolton
,,,,10535,Turnberry
,,,,10599,"Scotland, place unspecified"
10000,Europe,10600,Ireland,10601,Cork
,,,,10602,Dublin
,,,,10603,Dungarvan
,,,,10604,Galway
,,,,10605,Kinsale
,,,,10606,Limerick
,,,,10607,Londonderry
,,,,10608,Ringsend
,,,,10609,Strangford
,,,,10610,Waterford
,,,,10611,Wexford
,,,,10612,Belfast
,,,,10613,Coleraine
,,,,10614,Skibbereen
,,,,10615,"Tonaghmore, Cloghernalaura"
,,,,10616,Tynan
,,,,10617,Drogheda
,,,,10618,Lough Neagh
,,,,10699,"Ireland, place unspecified"
10000,Europe,10700,France,10702,Bayonne
,,,,10703,Bordeaux
,,,,10704,Brest
,,,,10705,Calais
,,,,10706,Camaret
,,,,10707,Dieppe
,,,,10708,Dinard
,,,,10709,Dunkerque
,,,,10710,Honfleur
,,,,10711,Ile de Batz
,,,,10712,La Rochelle
,,,,10713,Le Havre
,,,,10714,Les Sables
,,,,10715,Lorient
,,,,10716,Marseille
,,,,10717,Mediterranean coast (France)
,,,,10718,Mindin
,,,,10719,Morlaix
,,,,10720,Nantes
,,,,10721,Paimboeuf
,,,,10722,Port Louis
,,,,10723,Quimper
,,,,10724,Rochefort
,,,,10725,Saint-Brieuc
,,,,10726,Saint-Malo
,,,,10727,Saint-Nazaire
,,,,10728,Saint-Tropez
,,,,10729,Sète
,,,,10730,Vannes
,,,,10731,Anucita
,,,,10732,Barbezieux-Saint-Hilaire
,,,,10733,Beau sejour
,,,,10734,Bergerac
,,,,10735,Biarritz
,,,,10736,Blaye
,,,,10737,Cadillac
,,,,10738,Castres
,,,,10739,Chaillevette
,,,,10741,Clairac
,,,,10742,Étaules
,,,,10743,Grateloup-Saint-Gayrand
,,,,10744,La Tremblade
,,,,10745,"Languedoc-Roussillon, France"
,,,,10746,Le Fleix
,,,,10747,Limoges
,,,,10748,Lormont
,,,,10749,Lyon
,,,,10751,Marennes-Hiers-Brouage
,,,,10752,Mirambeau
,,,,10753,Montpellier
,,,,10754,Mornac
,,,,10755,Nice
,,,,10756,"Oléron, France"
,,,,10757,Paillet
,,,,10758,Podensac
,,,,10759,Rennes
,,,,10761,Pauillac
,,,,10762,Toulouse
,,,,10763,Tournon-sur-Rhône
,,,,10764,Basse Indre
,,,,10799,"France, place unspecified"
10000,Europe,10800,Netherlands,10801,Alkmaar
,,,,10802,Amersfoort
,,,,10803,Bergen
,,,,10804,Zaltbommel
,,,,10805,Boskoop
,,,,10806,Buiksloot
,,,,10807,Brielle
,,,,10808,Den Helder
,,,,10809,Den Hoorn
,,,,10810,Amsterdam
,,,,10811,Eemnes
,,,,10812,Egmond aan Zee
,,,,10813,Fleringen
,,,,10814,Friesland
,,,,10815,Geertruidenberg
,,,,10816,Goes
,,,,10817,graft
,,,,10818,Haarlem
,,,,10819,Harlingen
,,,,10820,Hasselt
,,,,10821,Enkhuizen
,,,,10822,Hoorn
,,,,10823,Hindeloopen
,,,,10824,Hulst
,,,,10825,IJzendijke
,,,,10827,Zaandam
,,,,10828,Zuider Zee
,,,,10829,Texel
,,,,10830,Rotterdam
,,,,10831,Dordrecht
,,,,10832,Maze
,,,,10833,Moerdijk
,,,,10834,Hellevoetsluis
,,,,10835,Monnickendam
,,,,10836,Naarden
,,,,10837,Nieuwendam
,,,,10838,Obdam
,,,,10839,Oldenzaal
,,,,10840,Zeeland
,,,,10841,Oostburg
,,,,10842,Oostzaan
,,,,10843,Ravenstein
,,,,10844,Roosendaal
,,,,10845,Leiden
,,,,10846,Schellingwoude
,,,,10847,Schoorl
,,,,10848,Sint-Annaland
,,,,10849,Sint-Maartensdijk
,,,,10850,Middelburg
,,,,10851,Vlissingen
,,,,10852,Veere
,,,,10853,Zeeland or Middelburg
,,,,10854,Spierdijk
,,,,10856,Stavoren
,,,,10859,The Hague
,,,,10860,Groningen
,,,,10861,Utrecht
,,,,10862,Werkendam
,,,,10863,West-Souburg
,,,,10864,Woerden
,,,,10865,Zierikzee
,,,,10866,Zwolle
,,,,10867,Netherlands
,,,,10869,Aalsmeer
,,,,10870,Twisk
,,,,10871,Leiderdorp
,,,,10872,"Ameland, Netherlands"
,,,,10873,Wijk aan Zee
,,,,10874,Gorinchem
,,,,10875,Kampen
,,,,10876,Kats
,,,,10877,Katwijk aan Zee
,,,,10878,Maarssen
