row_number,Variable,Definition
1,VOYAGEID,
2,STATUS,
3,ADLT1IMP,
4,ADLT2IMP,
5,ADLT3IMP,
6,ADPSALE1,
7,ADPSALE2,
8,ADULT1,
9,ADULT2,
10,ADULT3,
11,ADULT4,
12,ADULT5,
13,ADULT6,
14,ADULT7,
15,ARRPORT,
16,ARRPORT2,
17,ARRPORT3,
18,ARRPORT4,
19,BOY1,
20,BOY2,
21,BOY3,
22,BOY4,
23,BOY5,
24,BOY6,
25,BOY7,
26,BOYRAT7,
27,CAPTAINA,
28,CAPTAINB,
29,CAPTAINC,
30,CHIL1IMP,
31,CHIL2IMP,
32,CHIL3IMP,
33,CHILD1,
34,CHILD2,
35,CHILD3,
36,CHILD4,
37,CHILD5,
38,CHILD6,
39,CHILD7,
40,CHILRAT7,
41,CONSTREG,
42,CREW,
43,CREW1,
44,CREW2,
45,CREW3,
46,CREW4,
47,CREW5,
48,CREWDIED,
49,DATEDEPA,
50,DATEDEPB,
51,DATEDEPC,
52,D1SLATRA,
53,D1SLATRB,
54,D1SLATRC,
55,DLSLATRA,
56,DLSLATRB,
57,DLSLATRC,
58,DDEPAM,
59,DDEPAMB,
60,DDEPAMC,
61,DATARR32,
62,DATARR33,
63,DATARR34,
64,DATARR36,
65,DATARR37,
66,DATARR38,
67,DATARR39,
68,DATARR40,
69,DATARR41,
70,DATARR43,
71,DATARR44,
72,DATARR45,
73,DATEDEP,
74,DATEBUY,
75,DATELEFTAFR,
76,DATELAND1,
77,DATELAND2,
78,DATELAND3,
79,DATEDEPAM,
80,DATEEND,
81,DEPTREGIMP,
82,DEPTREGIMP1,
83,EMBPORT,
84,EMBPORT2,
85,EMBREG,
86,EMBREG2,
87,EVGREEN,
88,FATE,
89,FATE2,
90,FATE3,
91,FATE4,
92,FEMALE1,
93,FEMALE2,
94,FEMALE3,
95,FEMALE4,
96,FEMALE5,
97,FEMALE6,
98,FEMALE7,
99,FEML1IMP,
100,FEML2IMP,
101,FEML3IMP,
102,GIRL1,
103,GIRL2,
104,GIRL3,
105,GIRL4,
106,GIRL5,
107,GIRL6,
108,GIRL7,
109,GIRLRAT7,
110,GUNS,
111,INFANT1,
112,INFANT2,
113,INFANT3,
114,INFANT4,
115,INFANT5,
116,INFANT6,
117,JAMCASPR,
118,MAJBUYPT,
119,MAJBYIMP,
120,MAJBYIMP1,
121,MAJSELPT,
122,MALE1,
123,MALE1IMP,
124,MALE2,
125,MALE2IMP,
126,MALE3,
127,MALE3IMP,
128,MALE4,
129,MALE5,
130,MALE6,
131,MALE7,
132,MALRAT7,
133,MEN1,
134,MEN2,
135,MEN3,
136,MEN4,
137,MEN5,
138,MEN6,
139,MEN7,
140,MENRAT7,
141,MJBYPTIMP,
142,MJSELIMP,
143,MJSELIMP1,
144,MJSLPTIMP,
145,NATINIMP,
146,NATIONAL,
147,NCAR13,
148,NCAR15,
149,NCAR17,
150,NDESERT,
151,NPAFTTRA,
152,NPPRETRA,
153,NPPRIOR,
